t,x,y,u,psi,rudder,r
19:42:18.713608,0,0,0,0,0.0,0
19:42:18.763167,0,0,0,0,0.0,0
19:42:18.812271,0,0,0,0,0.0,0
19:42:18.863043,0,0,0,0,0.0,0
19:42:18.914292,0,0,0,0,0.0,0
19:42:18.963808,0,0,0,0,0.0,0
19:42:19.013466,0,0,0,0,0.0,0
19:42:19.064033,0,0,0,0,0.0,0
19:42:19.112523,0,0,0,0,0.0,0
19:42:19.162966,0,0,0,0,0.0,0
19:42:19.213745,0,0,0,0,0.0,0
19:42:19.265624,0,0,0,0,0.0,0
19:42:19.313819,0,0,0,0,0.0,0
